name,ID,area,travel depth: median,travel depth: MAD,travel depth: mean,travel depth: SD,travel depth: skew,travel depth: kurtosis,travel depth: 25%,travel depth: 75%,geodesic depth: median,geodesic depth: MAD,geodesic depth: mean,geodesic depth: SD,geodesic depth: skew,geodesic depth: kurtosis,geodesic depth: 25%,geodesic depth: 75%,mean curvature: median,mean curvature: MAD,mean curvature: mean,mean curvature: SD,mean curvature: skew,mean curvature: kurtosis,mean curvature: 25%,mean curvature: 75%,freesurfer curvature: median,freesurfer curvature: MAD,freesurfer curvature: mean,freesurfer curvature: SD,freesurfer curvature: skew,freesurfer curvature: kurtosis,freesurfer curvature: 25%,freesurfer curvature: 75%,freesurfer thickness: median,freesurfer thickness: MAD,freesurfer thickness: mean,freesurfer thickness: SD,freesurfer thickness: skew,freesurfer thickness: kurtosis,freesurfer thickness: 25%,freesurfer thickness: 75%,freesurfer convexity (sulc): median,freesurfer convexity (sulc): MAD,freesurfer convexity (sulc): mean,freesurfer convexity (sulc): SD,freesurfer convexity (sulc): skew,freesurfer convexity (sulc): kurtosis,freesurfer convexity (sulc): 25%,freesurfer convexity (sulc): 75%,mean position: x,mean position: y,mean position: z,mean position in standard space: x,mean position in standard space: y,mean position in standard space: z,Laplace-Beltrami spectrum: component 2,Laplace-Beltrami spectrum: component 3,Laplace-Beltrami spectrum: component 4,Laplace-Beltrami spectrum: component 5,Laplace-Beltrami spectrum: component 6,Laplace-Beltrami spectrum: component 7,Laplace-Beltrami spectrum: component 8,Laplace-Beltrami spectrum: component 9,Laplace-Beltrami spectrum: component 10,Zernike moments: component 1,Zernike moments: component 2,Zernike moments: component 3,Zernike moments: component 4,Zernike moments: component 5,Zernike moments: component 6,Zernike moments: component 7,Zernike moments: component 8,Zernike moments: component 9,Zernike moments: component 10,Zernike moments: component 11,Zernike moments: component 12,Zernike moments: component 13,Zernike moments: component 14,Zernike moments: component 15,Zernike moments: component 16,Zernike moments: component 17,Zernike moments: component 18,Zernike moments: component 19,Zernike moments: component 20,Zernike moments: component 21,Zernike moments: component 22,Zernike moments: component 23,Zernike moments: component 24,Zernike moments: component 25,Zernike moments: component 26,Zernike moments: component 27,Zernike moments: component 28,Zernike moments: component 29,Zernike moments: component 30,Zernike moments: component 31,Zernike moments: component 32,Zernike moments: component 33,Zernike moments: component 34,Zernike moments: component 35,Zernike moments: component 36
ctx-lh-caudalanteriorcingulate,1002,878.0396983999999,0.9798359999999999,0.8873120999999999,2.4900401555638694,2.8999615389773643,-0.03773078224394185,-1.3531822841496752,0.286356,4.56373,2.1692,1.960144,3.195500287157608,3.198882398842294,-0.07106198163337848,-1.2093456710558343,0.286356,5.29035,-2.49665,1.28234,-2.493175819247975,2.0185031461574465,-0.7655923390322463,-0.5578667967075646,-3.94367,-1.38969,-0.07470722496509552,0.12644101679325104,-0.041112248964400064,0.21444846965662126,-0.15176441191191145,-0.35382043941950636,-0.19007107615470886,0.06997132301330566,2.6177892684936523,0.29227447509765625,2.6730268005236484,0.4387896801335676,0.7282229870759862,-0.1262046788876665,2.3612800240516663,2.953573226928711,-0.09814641624689102,0.14558102935552597,-0.01019419045291671,0.2787347805840826,-0.2254658302731944,-1.0707614115318969,-0.20950990915298462,0.14597536623477936,-0.8935472685226337,29.900344722399236,39.057321090763395,-4.157151867565879,23.498421104218004,25.517356801334678,3.7160393384320534,11.305593290519147,21.36327724224498,22.046916626943364,35.13710064746465,44.30950782280726,47.85946962605882,70.12233548362609,77.44119013884047,0.001437565187829285,0.0023214583521751955,0.0017798608462305434,0.0005520646564762514,0.00033264057434646854,0.0004931788817881962,0.001276178515165105,0.00304472813015599,0.003645632017877741,0.002700250430675638,0.0011760503264545011,0.0008355036047832709,0.002574792238002627,0.004005694551794943,0.004065622940494481,0.0029238075701691194,0.0005083273079188597,0.0018939768288365956,0.003553691233426382,0.004407067402451589,0.0003029577343039659,0.0013113761006882962,0.0028449839735316352,0.0040870522196720886,0.0001805243144621431,0.0008843934099397789,0.0021597176144643954,0.00010847496536311007,0.0005909222926279878,0.001596142247714649,6.589649960751301e-05,0.0003943091452758867,4.0444031144714975e-05,0.00026347192109081846,2.5030776414298053e-05,1.5589959374511338e-05
ctx-lh-caudalmiddlefrontal,1003,3085.6236725000003,4.63248,4.438549,6.413343956395058,6.806220791933309,-0.37199534770352927,-1.20746784530134,0.596124,10.747,5.51989,5.268374000000001,7.240797262042286,7.328999488111263,-0.3697743092435293,-1.1264170610977615,1.20761,11.907,-3.80782,2.11515,-3.581157186127723,3.2596371737013925,-0.9402600453374993,-0.7399329819372595,-5.77384,-1.53228,-0.10110238939523697,0.11280905455350876,-0.09886684202073184,0.16475448139989274,-1.1508325437865812,-0.39712108580607186,-0.20723362267017365,0.018297161906957626,3.020163059234619,0.27196741104125977,2.9486075223713026,0.43750920883842104,0.2266152630619443,-0.5813952804746423,2.683393955230713,3.2535202503204346,-0.28442445397377014,0.400407999753952,-0.17764161030654754,0.6753854348085444,-0.717175665637376,-0.9473082358135887,-0.6285465955734253,0.21354562044143677,-28.837049219291657,16.115677959081268,52.86276452243328,-34.81907578600288,15.934315580977144,46.39774268587196,9.580006520756355,10.357995951455338,27.828614331627914,30.354809525483923,38.49721490889606,53.70210281253177,62.280002428117825,69.5311180737617,79.6760430616112,0.003934056500063141,0.0060040710490304,0.0038175684252941535,1.7775479597086693e-05,0.0019803871745402634,0.001300042163236593,0.0037114796550400805,0.008524772390474023,0.009296800126748815,0.005298296155565355,0.0005139317546788895,0.0025054461086867425,0.007531077109590035,0.01105566563851483,0.00977503061006033,0.0048988130961445265,0.001525269664362658,0.005608410304835186,0.010162535755071868,0.011571452041600216,0.0008828871612625358,0.003811400391000533,0.008131555532975879,0.01109498271621207,0.0004969566816075667,0.0024484899215738744,0.005963234855603521,0.0002758456486474906,0.001518743982335289,0.004128227312901525,0.0001527878084287531,0.0009247085041655713,8.542516788810721e-05,0.0005611178096296852,4.8715663674260626e-05,2.852825611854423e-05
ctx-lh-cuneus,1005,1761.233076,2.63765,2.5104100000000003,4.756339639105384,5.303100269720832,0.35487225530042316,-0.9778448674863083,0.347472,8.01738,3.67682,3.51115,6.016250671479612,6.465460201367877,0.44651229070250664,-0.7593512233616129,0.894399,9.68665,-3.37309,1.69333,-3.3498651543665883,2.82739622357599,-0.9881352723884747,0.3807012871751554,-5.02759,-1.63766,-0.10126382857561111,0.10749084502458572,-0.08335218086111705,0.16823927242138878,-0.8366877348127716,0.38406032117295963,-0.1994505077600479,0.018790582194924355,1.6692867279052734,0.45607638359069824,1.8818059849391475,0.864825797240277,1.8718224177313536,2.7200531871096247,1.2711567878723145,2.2470240592956543,-0.5749679803848267,0.23245543241500854,-0.4257716753475563,0.4899824223164916,0.04679540356016158,-0.7798457617364356,-0.7528123259544373,-0.1708289086818695,-7.544470072731921,-60.59486116460153,-9.4175270809636,-6.619763782935973,-82.99871893931616,22.08854383764751,2.5534999729134107,9.59044735431287,17.09051759656989,19.666814437941294,23.69403896870705,38.25952611972272,57.272621057655705,67.83552580049079,73.02894955985674,0.00042955477624649125,0.00030365823195789305,0.0012495964507947817,0.0006308782131824835,0.00038127161099368867,0.0003649520203304127,0.0009454859332538502,0.0005110489205836181,0.0015665774851010123,0.0019018710412462012,0.00044343831755056857,0.0011512166162329848,0.0014329755352327038,0.0008741958940020256,0.0024031302681948898,0.0014691118652841542,0.001156829560098938,0.0020838191553355766,0.0005065372488677956,0.0021376492670407772,0.00106178244402206,0.0024247501866520305,0.0014036231789538406,0.0014371527729898754,0.000926870564637779,0.0025213957022226195,0.0021945753383817374,0.000784795257565041,0.0024530974058379123,0.00273761316860641,0.0006515050968892763,0.002285880827186443,0.0005336801873511215,0.0020677353822528273,0.000433123034172527,0.00034921642932665107
ctx-lh-entorhinal,1006,683.6028692,1.4798,1.251861,2.8130499109930844,3.4074243917498355,0.6933461946331062,0.37734770469102097,0.516363,3.94773,3.3697,2.28934,4.347603887671339,4.161706336494696,0.2927671318743431,-0.20120091627808234,1.30324,6.41359,-4.7229,1.35366,-4.516181424782619,2.222265621122503,-0.800065851039476,-0.6182276511579423,-5.94181,-3.21753,-0.10711094737052917,0.07752950489521027,-0.12505447740540837,0.15855324659130596,-1.2443090990479935,0.7921057705909376,-0.2099856436252594,-0.04648192599415779,3.803356885910034,0.7551743984222412,3.674607582520758,0.9229699718063433,-0.02852627458733636,-1.2246765424067416,2.8566441535949707,4.478436470031738,-0.5761659741401672,0.1585754156112671,-0.5576830302185778,0.27783470996173,-0.7370790151110306,-0.6422219159489471,-0.7498123645782471,-0.4304715394973755,-18.49650991433793,28.094505974466767,-19.273930689734872,-22.53458735990099,-6.588381545616085,-32.958852060685224,2.9216729898495974,7.66005226610061,12.456891653941621,19.170475945865707,25.296266587803782,33.44594327491923,44.19178722281645,55.41993339275424,69.3750973429112,0.001119294548815216,0.0019466485869497328,0.001733600954409135,0.0007610624689447813,0.0002488342740315253,0.0006889927418631669,0.0009087082823567351,0.0023572152741495977,0.0032180155021894444,0.0028344656063152753,0.0014744387092305849,0.0005332514908263263,0.0018135442084187554,0.0032410989519705033,0.0038878388410715876,0.0032720903620105874,0.00028421643983372625,0.0011888760108536925,0.0026008131736752617,0.0038593746537574462,0.0001446547799992273,0.0007157341170237142,0.0018431988559785362,0.0032296309336567563,7.167369660498168e-05,0.0004084058261840282,0.0012060979784412537,3.49130432358945e-05,0.0002246270932581708,0.0007462882922020127,1.6823426293275068e-05,0.00012035118790492182,8.058295173139953e-06,6.329836360480744e-05,3.854216143252986e-06,1.8495272482829581e-06
ctx-lh-fusiform,1007,4132.7274698,3.0953,2.736063,4.439768280018005,4.673585628744856,-0.4830669115716789,-1.3200949903910966,0.721688,7.35776,4.81943,3.4054100000000007,5.731463351694778,5.1215349311158915,-0.6395958846128134,-1.1872783923174346,1.72924,8.966650000000001,-3.8299,1.57104,-3.5881714063797285,2.9861793717352207,-0.8849107080476756,-0.4730222677224529,-5.24491,-2.1264,-0.13154101371765137,0.13163667917251587,-0.12306549689706914,0.1879317393131621,-1.1124142676162272,-0.6647694683856615,-0.2571423649787903,0.008005430921912193,2.791205406188965,0.43583250045776367,2.899622917169974,0.7586931569121917,1.1800999266929935,0.7210676332947594,2.3921892642974854,3.28806209564209,-0.14045393466949463,0.26624229550361633,-0.0930196855626097,0.48755881349547714,-0.9754303725025769,-0.5063521358118153,-0.362691193819046,0.17189409583806992,-30.36073697580904,-10.73533683926387,-25.816689388506987,-33.857657111195365,-46.00309845389737,-19.982647584346367,2.0621966140165435,11.6103886995145,15.009323303341215,26.480431193926524,40.60999957145364,46.66254540724238,54.7858475019602,63.497041266442714,82.97771883188409,0.005163039322709688,0.008457624486514284,0.006649264654757597,0.002115217170923805,0.00143492308207753,0.002284134573893524,0.003908133555356349,0.009600218021687455,0.012049845886180131,0.009522716838097536,0.004427594202139077,0.0018577955796836374,0.006015056279827164,0.010097202600876333,0.011389380122067659,0.009310759204017405,0.0009083835499450405,0.0034770163053406155,0.006840268032142567,0.009220085473415955,0.0006299033734442002,0.002716884898971607,0.005831237976049103,0.008233456681452167,0.0004030323712564595,0.001995365149816343,0.0048931335701909075,0.0002064869487016201,0.0011597893119819872,0.003238904648601336,0.00010441821845624311,0.0006418663598431799,7.179916149543632e-05,0.00047554339867379345,4.886266651053505e-05,2.721679065794119e-05
ctx-lh-inferiorparietal,1008,4776.9129771,6.79609,5.530900000000001,7.8489849723902925,6.930420818099866,-0.4211163035488316,-1.2415143393272492,1.59779,12.9063,7.79841,6.011369999999999,8.948781768763077,7.678193232204589,-0.368961355368386,-1.1780367827929676,2.30488,14.4067,-3.25325,2.0031999999999996,-3.1940132196018056,3.2417281186972553,-0.8306917517637888,-0.6792320951836675,-5.44179,-1.43225,-0.09848412126302719,0.13395129330456257,-0.1033450685798284,0.1858931276561824,-1.2006914261000439,-0.10494378108232727,-0.23690588772296906,0.031030330806970596,2.491178512573242,0.3189436197280884,2.501495677117351,0.4674542704734491,0.6520210145319313,-0.1049889305101197,2.16947340965271,2.809199094772339,-0.11256114393472672,0.38834864646196365,-0.050257373557916186,0.6005668967855832,-0.6721885243651097,-0.9123360261931186,-0.48475098609924316,0.3019237220287323,-39.18130582158073,-49.63691286043767,0.20105207503031242,-42.40307299724962,-69.95635490192493,26.147469498676802,7.597608495393835,9.53054750382796,26.435190000028975,28.677211367489473,34.42834918969511,45.873089242502445,56.50226094853861,64.5528035596131,75.26502825325376,0.004426673297961358,0.0061092110794088,0.0027543503517267988,0.0012878935971610576,0.002036942456999393,0.00012245895811806816,0.004586678699124687,0.00966536107491256,0.008771824027843707,0.0029198511945566223,0.0016209965984394534,0.0033891426542700205,0.00940972893464198,0.011996409773432706,0.008104288856782448,0.0018868520318836986,0.0022434099213767844,0.007656370375159648,0.012314508763398483,0.011550666869775416,0.0013994457196863425,0.0056296757439325915,0.010813032129845752,0.012621125688963373,0.00083995142286553,0.0038689609592213884,0.00856876108779845,0.0004911866634506991,0.002534311518836316,0.006309253836017169,0.000282870436530931,0.001606191182277959,0.00016229345342963847,0.0009995601200379065,9.39826976298333e-05,5.562956923435177e-05
ctx-lh-inferiortemporal,1009,3905.6501325,1.98023,1.9321156999999998,3.754995200867909,4.62350502916593,0.13961251553246912,-0.72974241773146,0.137225,6.27825,3.00711,2.9303586999999998,4.58303437142254,5.251187350673593,0.03498517053086598,-0.797653216817094,0.137225,7.41394,-3.91029,2.19388,-3.594392124651961,3.247768045227777,-0.812188774346632,-0.9253175360803323,-5.94736,-1.5307175000000002,-0.12323981523513794,0.13225165009498596,-0.11872221136840104,0.17527895096115848,-1.1212175212600732,-0.38482801076462536,-0.24546130001544952,0.018700694665312767,3.1074700355529785,0.5262227058410645,3.0798562753599277,0.7156416845254296,0.5066276531698706,-0.5240065068568676,2.546140670776367,3.6037368774414062,-0.29819436371326447,0.28624540101736784,-0.2243271661402607,0.48215693227031686,-0.5667555131545061,-0.8182171786176613,-0.552435576915741,0.03004837967455387,-46.64543523615486,0.9295375976690013,-23.56946125879626,-52.49420986484802,-35.022751213388496,-23.696854950011303,2.8096657588707497,9.809019722247374,16.815588490911175,24.842911659611023,32.75350924369213,36.92100910231082,45.08241790374337,59.21378471520779,67.33781967240193,0.005967100276704629,0.009586286779735446,0.007044763951085113,0.0014080933302526933,0.0024782467502360898,0.002445328294169204,0.004803573558092774,0.011605161319142828,0.013938774284794132,0.009754818113928936,0.0028044795092715463,0.0025064919281526177,0.007995561239529889,0.012924736757998193,0.013338680441347806,0.00886951637171099,0.0011596197223987953,0.0045410921708799595,0.00905297539544008,0.011870359052104403,0.0006193385165449731,0.0027941326517894206,0.006363070948117519,0.00956363741746182,0.0003705128774097349,0.001891706084218576,0.0048289205160834585,0.00020338697330709769,0.0011724935029435938,0.0033747881558824668,0.00010272001739300366,0.0006601736107937137,5.5961226711464524e-05,0.00039236713368856496,3.37494473038671e-05,1.9361847191804102e-05
ctx-lh-isthmuscingulate,1010,1209.8369068000002,2.78409,2.141728,3.423474036454263,3.096047279744053,0.09721360802170426,-0.6468655297060448,0.787476,5.13673,4.71893,2.7255000000000003,4.822961986605679,3.5368115447973847,-0.2904272575696422,-0.8240029550092749,1.75103,7.1823250000000005,-2.83302,1.4304999999999999,-2.8481348063603473,1.9363599523602997,-0.7719960421466634,-0.6860015155284795,-4.35076,-1.49702,-0.07627823948860168,0.10293119959533215,-0.07517414355746245,0.1597217186302847,-0.720675101383167,0.23607024944806065,-0.18225960433483124,0.02534303069114685,2.4205682277679443,0.47356677055358887,2.440713710519592,0.7866237090029218,0.8347751582247007,-0.003942486182793026,1.9562366008758545,2.903303623199463,-0.14204855263233185,0.24383655935525894,-0.15228484195114533,0.3890897049026392,-0.1504212291895346,-0.26757757872322063,-0.4284186363220215,0.06120629981160164,-4.823188176396967,-28.135223725047403,2.5171264301070018,-5.262682389118872,-47.35736683663283,17.77675658030459,3.3957187877890807,16.660215758503625,19.375029730808304,23.868467677142174,33.53987684580036,47.42008631420662,49.242213497801714,58.36864516191611,77.48964645277088,0.0017976478705623517,0.0034696328993229506,0.003902487321438975,0.003063072424432885,0.0014620149079630947,0.00014020235251649193,0.0011181832804461583,0.003187638615232272,0.005140538525795387,0.005995535923026716,0.005340273757548821,0.0004838429621293523,0.001801594288418213,0.0037103681432756504,0.005495526994563257,0.0063690371562460145,0.00018582153348889506,0.000848922883188593,0.0021102236076536605,0.0037386489485602653,6.818554473347554e-05,0.00036794452064767275,0.0010673167418850005,0.0021892406455116574,2.5052426442157143e-05,0.0001558020078570805,0.0005162979554944621,9.465829105366709e-06,6.669137812593198e-05,0.00024878302643067143,3.687098446067145e-06,2.90214831697578e-05,1.4661169509040443e-06,1.2733652863152867e-05,5.907154400165303e-07,2.4061154091163357e-07
ctx-lh-lateraloccipital,1011,6160.6806082,1.58604,1.5657755999999998,3.096357250579077,3.6837249954510316,0.2442549881784322,-0.8209112202926896,0.0644319,5.40888,2.25764,2.2284213,3.682321623317049,4.19000647817926,0.19938246564011775,-0.9135426862124238,0.0644319,6.34198,-3.6722,1.8116199999999996,-3.528167401215368,2.7050315527563016,-0.6609872600398329,-0.44873645012275,-5.40693,-1.78487,-0.12590207159519196,0.11845743609592319,-0.1144278591697472,0.16852185649717347,-0.7441315429385622,-0.7550129456433137,-0.23617611825466156,0.0009440798312425613,2.293675184249878,0.3974735736846924,2.28977176937436,0.6332767178780241,0.8852036849602679,1.536302480496146,1.8656659126281738,2.6683411598205566,-0.4394931197166443,0.2765205502510071,-0.37469293284316313,0.43009011554156995,-0.37533876362750007,-0.7461737951682501,-0.680770754814148,-0.111052006483078,-30.04416704943007,-55.84568356437753,-31.053787520631484,-31.404796194058864,-89.97110445294676,-2.431641635191929,6.6877644364341595,14.044975228731822,19.17718172843476,29.966855378623038,37.26728405827654,49.52953488370981,55.87320791668582,68.12287548201282,77.62744082126245,0.010395068323054462,0.009254153407174889,0.0008728179188649231,0.0028495784642895844,0.0007149648114249813,0.0009357553161561671,0.013230711907521593,0.01873459801610194,0.0065182907317943295,0.0018859516979854258,0.0010148123218618906,0.012039872362077035,0.022334362763031634,0.013859171755918765,0.0023362501135755225,0.0017219514212495535,0.009876678611520287,0.022095610493548256,0.01842841499603683,0.006878439110630545,0.007707485584624426,0.019814844950592776,0.02001356773913359,0.010478309170653581,0.005855200123879101,0.016743124708689813,0.01932261461481228,0.004388057390963538,0.013632743027967464,0.017280224625920812,0.0032730822037816583,0.010863822697743762,0.0024445215083723788,0.00857210110934942,0.001834540348518962,0.001385490168903344
ctx-lh-lateralorbitofrontal,1012,3127.8137343,5.47721,3.9038700000000004,6.911113283251839,6.3812254839792315,0.4220679416591648,-0.15067739463310437,1.93863,9.87106,7.56047,5.0298,9.432336192332876,7.751899006196138,0.259091272213163,-0.640728027767524,3.29609,14.3136,-2.95952,1.2757299999999998,-2.9956555004732954,2.4997107166915873,-0.7610369170807998,0.08812978812545635,-4.35605,-1.80214,-0.09566829353570938,0.13527950271964073,-0.1058063893998572,0.18437878327935228,-1.1448189848464447,-0.27107241977728336,-0.23625853657722473,0.03403322771191597,2.888441324234009,0.3482401371002197,2.900433975066025,0.581470185162961,0.39949742488829987,0.7599835146404001,2.539909839630127,3.2350144386291504,-0.15422818064689636,0.25702573359012604,-0.11674437784460263,0.44743436677429516,-0.4165525064831265,-0.14942793399887222,-0.39711928367614746,0.11678532510995865,-17.6911277405963,54.47261199672388,6.500169528509523,-23.290778255103852,29.89585322879846,-20.1273060385862,5.736857297738079,11.528676724306408,17.772565721768725,29.26592849680276,34.21247707244429,46.8256120348259,52.646994677078524,68.48609796471163,75.33276945499895,0.003320997165861663,0.003502009329415182,0.0004609828924173869,0.001284694818291618,0.0008276470139214134,0.00027547924683253566,0.004030033390632336,0.006582598909444039,0.0038875900610114227,0.0005068015077390123,0.0012901687804642503,0.003544439447758353,0.00746414010110163,0.006696633706198889,0.003098098186624166,0.000924049284042802,0.002862078384309027,0.007134556734897469,0.00810351708064136,0.005679919113722245,0.0022462780248181757,0.00628924553101427,0.008320726489317327,0.007311211902882124,0.0017559554522030016,0.0053261309148271135,0.007796996185572736,0.0013846166183958141,0.0044357392233250435,0.0069303271168523655,0.001108326645241116,0.0036868212890669126,0.0009026332186652136,0.0030859563330762774,0.0007476904972521831,0.0006288882446492866
